Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
overweight,male,pescatarian,twice a day,natural gas,public,,sometimes,79,very frequently,3,extra large,2,23,42,13,No,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",343.9
obese,male,omnivore,less frequently,electricity,public,,often,64,frequently,415,medium,6,19,48,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",257.3
normal,female,pescatarian,less frequently,natural gas,public,,never,291,rarely,1818,large,4,13,23,9,Yes,['Plastic'],"['Stove', 'Microwave']",154.4
normal,female,vegetarian,less frequently,wood,public,,never,148,never,639,small,7,22,12,22,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",79.1
overweight,female,vegan,daily,coal,public,,never,275,rarely,388,large,3,15,3,6,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",126.4
overweight,female,omnivore,twice a day,natural gas,public,,often,289,frequently,804,extra large,7,14,38,7,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",301.1
obese,male,omnivore,daily,natural gas,private,diesel,sometimes,84,never,4084,medium,3,24,45,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],278
underweight,female,pescatarian,twice a day,electricity,walk/bicycle,,never,244,rarely,30,extra large,2,6,23,23,Sometimes,[],"['Oven', 'Microwave']",127.3
underweight,female,vegan,less frequently,coal,public,,often,64,rarely,1488,small,3,14,18,18,No,['Paper'],['Microwave'],133.2
normal,male,vegetarian,less frequently,natural gas,public,,never,179,rarely,447,large,5,8,12,12,Yes,[],['Microwave'],159.4
normal,female,pescatarian,more frequently,natural gas,public,,never,263,rarely,1476,extra large,7,18,46,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",232.2
obese,female,pescatarian,daily,coal,public,,sometimes,268,never,1368,small,4,0,15,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",141
overweight,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,128,very frequently,8,extra large,1,9,49,10,No,[],['Stove'],315.9
normal,male,omnivore,more frequently,electricity,public,,sometimes,101,never,1227,large,2,17,22,19,Yes,"['Plastic', 'Glass']",['Oven'],115.9
underweight,male,vegetarian,daily,wood,public,,often,63,frequently,1597,extra large,7,4,50,3,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",297
normal,male,vegetarian,twice a day,natural gas,public,,never,66,never,574,extra large,7,11,28,21,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",171.1
obese,female,vegetarian,twice a day,electricity,walk/bicycle,,never,51,frequently,19,small,1,8,17,1,Yes,[],['Oven'],121.1
normal,male,vegetarian,more frequently,natural gas,walk/bicycle,,never,222,frequently,73,medium,2,11,9,1,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",151.4
underweight,male,vegetarian,more frequently,wood,public,,often,116,frequently,338,medium,1,1,20,17,No,['Paper'],['Microwave'],164.9
underweight,female,vegetarian,less frequently,electricity,public,,never,245,never,1527,medium,1,15,30,9,Sometimes,['Paper'],['Oven'],78.9
normal,male,vegetarian,daily,coal,walk/bicycle,,often,81,never,95,medium,5,4,2,1,No,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",128
underweight,female,vegetarian,less frequently,coal,walk/bicycle,,never,173,never,69,medium,5,20,23,0,Sometimes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",118.2
overweight,male,vegan,twice a day,wood,private,lpg,sometimes,260,rarely,2266,large,3,10,44,12,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",272.7
overweight,male,omnivore,more frequently,natural gas,public,,sometimes,251,never,885,extra large,7,19,15,3,Yes,"['Paper', 'Plastic']",['Oven'],229.9
normal,male,pescatarian,daily,electricity,walk/bicycle,,sometimes,129,rarely,56,medium,5,11,13,2,No,['Plastic'],['Stove'],117.4
underweight,female,pescatarian,daily,coal,public,,sometimes,71,rarely,1370,small,6,3,42,21,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",150.7
obese,male,vegetarian,daily,natural gas,walk/bicycle,,sometimes,264,very frequently,42,extra large,5,17,33,17,Sometimes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",415.8
obese,male,pescatarian,less frequently,electricity,walk/bicycle,,never,281,never,5,extra large,1,11,31,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",110.7
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,,often,128,frequently,13,extra large,2,13,30,0,Sometimes,['Glass'],"['Oven', 'Microwave']",204.8
underweight,female,omnivore,less frequently,natural gas,private,hybrid,never,125,rarely,3849,small,7,14,7,6,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",142.3
overweight,female,vegetarian,twice a day,natural gas,walk/bicycle,,sometimes,130,very frequently,50,extra large,7,1,50,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",319.1
overweight,female,pescatarian,daily,coal,walk/bicycle,,often,212,frequently,50,small,4,14,20,2,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",184.6
normal,female,pescatarian,daily,electricity,walk/bicycle,,often,270,very frequently,3,extra large,7,5,6,23,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",239.9
overweight,female,omnivore,less frequently,electricity,private,diesel,sometimes,220,rarely,9445,large,3,20,17,10,Sometimes,['Plastic'],['Oven'],358.2
overweight,female,pescatarian,twice a day,electricity,private,diesel,often,210,very frequently,4197,small,2,16,48,16,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",353.8
normal,female,omnivore,more frequently,coal,public,,often,209,never,600,small,6,3,21,2,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",162.2
overweight,male,omnivore,daily,electricity,private,hybrid,sometimes,53,rarely,1720,large,1,10,24,19,No,"['Glass', 'Metal']",['Stove'],138.7
overweight,male,omnivore,more frequently,electricity,public,,sometimes,73,very frequently,1890,medium,3,5,5,12,Sometimes,"['Paper', 'Glass']",['Oven'],226.2
overweight,male,pescatarian,twice a day,wood,private,petrol,often,53,very frequently,601,small,4,15,30,3,Sometimes,"['Paper', 'Glass', 'Metal']",['Microwave'],272.9
overweight,female,omnivore,less frequently,wood,private,electric,never,53,very frequently,6894,small,7,0,15,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",202.6
normal,female,vegetarian,twice a day,coal,public,,sometimes,132,frequently,636,large,4,12,14,17,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",180.2
overweight,female,omnivore,daily,electricity,public,,often,212,very frequently,1201,extra large,2,23,36,9,Sometimes,['Glass'],"['Oven', 'Grill', 'Airfryer']",276.1
normal,male,omnivore,less frequently,wood,walk/bicycle,,never,240,rarely,48,small,3,10,13,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",97.6
overweight,male,vegan,more frequently,electricity,private,electric,sometimes,183,very frequently,5442,large,3,9,20,20,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",252.2
overweight,male,vegetarian,more frequently,wood,public,,never,295,frequently,236,extra large,4,8,39,5,Yes,"['Paper', 'Plastic', 'Glass']",[],245.7
overweight,female,pescatarian,less frequently,coal,private,lpg,sometimes,222,very frequently,3388,large,3,16,22,20,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",355.9
normal,male,omnivore,more frequently,electricity,public,,often,102,frequently,1084,large,2,22,10,13,Sometimes,"['Plastic', 'Glass', 'Metal']",[],147.2
obese,female,omnivore,less frequently,coal,walk/bicycle,,never,295,very frequently,95,large,2,24,28,9,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",306
overweight,female,omnivore,less frequently,coal,private,diesel,often,120,never,5698,medium,1,17,28,0,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",279
normal,male,pescatarian,twice a day,coal,public,,often,56,rarely,780,medium,7,14,14,5,Sometimes,['Glass'],"['Stove', 'Microwave']",191.6
underweight,male,vegan,daily,coal,walk/bicycle,,never,134,very frequently,2,extra large,2,21,50,17,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",280.9
underweight,male,pescatarian,twice a day,coal,walk/bicycle,,often,111,rarely,75,small,6,22,33,1,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",169.6
normal,male,pescatarian,more frequently,wood,public,,sometimes,282,never,495,small,3,24,47,23,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",164.8
underweight,female,vegan,twice a day,wood,walk/bicycle,,often,186,rarely,95,medium,2,19,28,8,Sometimes,['Paper'],"['Stove', 'Oven']",120.8
obese,female,vegan,daily,electricity,walk/bicycle,,sometimes,59,very frequently,43,small,1,0,38,19,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",243.9
obese,female,pescatarian,more frequently,natural gas,private,hybrid,never,191,frequently,6716,large,3,7,6,21,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",299.9
underweight,male,pescatarian,twice a day,natural gas,public,,never,299,never,1840,large,6,23,23,2,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",147.1
obese,male,omnivore,less frequently,coal,public,,sometimes,55,frequently,1386,medium,5,21,29,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",247.1
normal,male,pescatarian,less frequently,electricity,private,diesel,sometimes,179,very frequently,3717,medium,5,10,5,6,No,"['Paper', 'Plastic', 'Metal']",['Microwave'],289.9
underweight,male,vegan,less frequently,electricity,walk/bicycle,,often,71,very frequently,71,large,1,20,38,0,Sometimes,"['Plastic', 'Metal']",['Stove'],216.3
overweight,female,omnivore,twice a day,wood,walk/bicycle,,never,79,rarely,46,extra large,1,21,21,16,Sometimes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",118.2
overweight,female,vegetarian,daily,natural gas,walk/bicycle,,sometimes,162,frequently,85,extra large,7,11,43,2,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",289.7
underweight,female,pescatarian,twice a day,electricity,private,hybrid,often,292,frequently,3745,extra large,1,5,23,18,Yes,['Plastic'],[],205.6
normal,female,vegetarian,daily,coal,walk/bicycle,,often,161,very frequently,78,extra large,7,16,16,4,Sometimes,['Plastic'],"['Grill', 'Airfryer']",302.6
normal,male,pescatarian,less frequently,natural gas,public,,never,218,rarely,1046,large,1,18,12,2,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",108.4
underweight,male,pescatarian,daily,natural gas,private,diesel,often,54,frequently,9915,large,5,11,12,16,No,"['Paper', 'Metal']",[],412.2
normal,male,omnivore,daily,coal,private,diesel,sometimes,232,never,1181,large,3,2,18,7,No,['Plastic'],['Oven'],188.8
overweight,male,vegan,more frequently,natural gas,private,lpg,never,194,frequently,4044,large,2,10,6,22,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",296
obese,male,vegetarian,daily,natural gas,walk/bicycle,,sometimes,91,rarely,1,medium,7,19,24,9,Sometimes,"['Paper', 'Plastic', 'Glass']",['Oven'],176.1
overweight,male,omnivore,twice a day,wood,public,,sometimes,105,very frequently,983,medium,3,9,28,14,No,['Metal'],"['Stove', 'Microwave']",316.8
normal,female,vegetarian,daily,electricity,private,electric,often,158,never,5151,small,7,8,43,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",98
underweight,male,vegetarian,daily,wood,public,,sometimes,72,rarely,810,medium,7,20,26,7,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",155.7
underweight,female,vegetarian,less frequently,natural gas,private,electric,sometimes,153,rarely,5711,extra large,4,10,48,5,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",152.3
overweight,female,omnivore,daily,coal,private,hybrid,sometimes,125,frequently,4670,small,6,5,7,6,Yes,['Glass'],[],255.1
underweight,female,pescatarian,daily,coal,private,hybrid,often,52,rarely,6862,extra large,7,10,49,17,No,"['Plastic', 'Glass']",[],319.8
obese,female,vegan,less frequently,coal,private,petrol,often,137,rarely,8095,medium,4,14,30,18,No,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",496
overweight,female,vegan,more frequently,wood,walk/bicycle,,never,74,very frequently,18,large,4,1,45,13,Sometimes,['Paper'],[],273.5
normal,female,vegan,more frequently,electricity,public,,never,80,very frequently,1780,small,2,13,8,1,No,"['Plastic', 'Glass', 'Metal']",[],158.1
overweight,male,vegan,less frequently,natural gas,private,diesel,never,232,never,2764,small,1,16,39,15,Yes,"['Plastic', 'Metal']",['Oven'],199.8
obese,female,pescatarian,less frequently,electricity,private,hybrid,often,120,never,2061,extra large,4,12,14,17,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",173.4
underweight,male,omnivore,less frequently,natural gas,private,electric,never,268,very frequently,8886,extra large,3,8,13,9,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",279.7
underweight,female,vegan,daily,coal,private,lpg,often,151,rarely,1703,large,7,2,46,2,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",240.9
overweight,female,vegan,less frequently,coal,public,,sometimes,257,very frequently,1479,small,5,5,6,2,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",242.9
underweight,male,omnivore,more frequently,wood,public,,often,242,frequently,1751,large,6,6,4,10,No,"['Glass', 'Metal']","['Grill', 'Airfryer']",238.9
overweight,male,vegetarian,less frequently,coal,walk/bicycle,,often,249,rarely,58,small,3,10,46,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",190.6
underweight,female,pescatarian,daily,electricity,walk/bicycle,,never,68,very frequently,6,medium,2,8,12,1,No,['Plastic'],['Microwave'],155
overweight,female,vegan,more frequently,coal,walk/bicycle,,sometimes,152,never,64,small,6,7,1,7,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",87.5
underweight,female,vegetarian,more frequently,coal,private,lpg,often,216,never,543,small,7,4,34,9,Sometimes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",157.4
overweight,female,omnivore,more frequently,coal,walk/bicycle,,never,246,rarely,20,large,3,11,12,22,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven']",187
overweight,female,omnivore,more frequently,electricity,walk/bicycle,,often,163,very frequently,67,medium,3,23,6,2,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",212.3
underweight,female,pescatarian,daily,coal,walk/bicycle,,never,61,very frequently,52,small,5,17,11,21,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",193.7
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,sometimes,247,never,59,extra large,4,4,27,7,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",133.2
underweight,female,vegan,daily,natural gas,private,hybrid,never,160,never,7896,medium,3,13,6,5,No,"['Paper', 'Glass', 'Metal']",[],155.9
overweight,male,vegan,twice a day,electricity,walk/bicycle,,never,238,frequently,78,medium,3,3,2,9,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],104.2
overweight,male,vegan,twice a day,coal,private,lpg,never,140,rarely,5270,extra large,1,6,33,15,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",330.7
overweight,male,omnivore,less frequently,coal,private,petrol,never,281,frequently,1312,medium,2,6,5,23,Yes,"['Paper', 'Plastic', 'Glass']",[],254.4
obese,female,vegetarian,less frequently,wood,public,,never,268,rarely,848,large,6,24,50,10,Sometimes,['Plastic'],['Stove'],238.4
normal,female,vegetarian,daily,natural gas,public,,never,292,frequently,718,small,4,16,49,0,Sometimes,"['Plastic', 'Glass']",[],184.3
overweight,female,vegetarian,more frequently,coal,private,electric,sometimes,97,frequently,8798,extra large,6,6,8,23,Yes,"['Plastic', 'Glass']",['Microwave'],216.1
obese,male,vegetarian,less frequently,coal,public,,never,180,never,575,extra large,3,12,9,8,No,"['Paper', 'Plastic', 'Glass']",['Oven'],151.7
overweight,male,omnivore,twice a day,electricity,public,,sometimes,243,rarely,1838,large,2,3,16,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",132.4
obese,female,pescatarian,twice a day,coal,public,,sometimes,64,never,1279,medium,6,4,7,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",134.8
obese,female,vegan,less frequently,electricity,private,petrol,never,145,never,9313,large,3,16,21,2,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",425.7
obese,female,vegan,more frequently,electricity,walk/bicycle,,often,193,very frequently,41,small,2,22,46,20,No,['Plastic'],[],303.7
overweight,female,vegan,twice a day,natural gas,public,,never,140,never,1282,small,5,10,26,11,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",106.9
normal,male,vegan,less frequently,electricity,private,petrol,often,237,very frequently,6938,large,6,20,45,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",539.1
normal,male,pescatarian,daily,natural gas,private,electric,often,236,never,5140,medium,7,10,50,6,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']",188.4
underweight,male,vegetarian,twice a day,natural gas,private,hybrid,never,174,rarely,1545,medium,3,17,36,18,No,['Metal'],"['Stove', 'Microwave']",172.1
obese,female,vegan,more frequently,electricity,walk/bicycle,,often,238,never,78,medium,1,12,31,5,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",88.9
normal,male,pescatarian,less frequently,coal,public,,sometimes,280,very frequently,1483,medium,4,3,7,21,Sometimes,['Metal'],"['Stove', 'Microwave']",294
normal,female,vegetarian,twice a day,natural gas,private,lpg,often,275,very frequently,9964,large,5,19,12,23,Yes,"['Paper', 'Glass']",[],471.2
underweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,271,never,51,extra large,3,13,50,23,No,"['Paper', 'Metal']",[],134.6
overweight,female,omnivore,daily,electricity,walk/bicycle,,sometimes,189,rarely,13,small,6,15,25,8,Yes,"['Paper', 'Glass']",['Oven'],121.8
overweight,female,vegetarian,daily,natural gas,walk/bicycle,,sometimes,86,never,75,small,4,6,2,6,No,['Paper'],"['Microwave', 'Grill', 'Airfryer']",77.1
underweight,male,pescatarian,more frequently,electricity,walk/bicycle,,sometimes,169,never,97,small,4,5,39,17,Sometimes,[],"['Stove', 'Oven']",133.9
obese,female,omnivore,daily,natural gas,public,,sometimes,208,rarely,94,extra large,3,11,35,14,Yes,"['Paper', 'Metal']",[],180.1
normal,female,vegetarian,more frequently,wood,public,,often,262,rarely,975,small,3,11,40,15,Sometimes,['Paper'],['Microwave'],148.4
underweight,male,vegan,daily,wood,walk/bicycle,,sometimes,156,frequently,4,large,6,0,2,2,Sometimes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",161.9
normal,male,pescatarian,twice a day,coal,walk/bicycle,,sometimes,68,never,69,medium,3,17,16,0,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",102.7
normal,male,vegetarian,more frequently,electricity,private,petrol,sometimes,74,frequently,3430,large,6,8,28,7,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",316.9
overweight,female,pescatarian,less frequently,wood,private,lpg,sometimes,108,frequently,7993,large,1,15,27,23,No,['Plastic'],"['Oven', 'Microwave']",404.2
obese,male,vegan,twice a day,wood,private,diesel,sometimes,238,very frequently,4870,extra large,2,11,37,15,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",463.1
underweight,male,omnivore,twice a day,electricity,walk/bicycle,,often,241,frequently,21,small,6,13,47,23,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",230.5
obese,male,pescatarian,more frequently,electricity,walk/bicycle,,sometimes,212,very frequently,31,small,6,10,47,0,No,"['Paper', 'Glass']",['Microwave'],295.1
underweight,male,vegan,more frequently,wood,walk/bicycle,,never,53,rarely,89,small,5,15,50,11,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",135.2
normal,female,omnivore,less frequently,natural gas,public,,never,204,very frequently,1417,extra large,3,21,9,24,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],226.2
underweight,female,vegetarian,more frequently,wood,walk/bicycle,,often,67,rarely,57,small,5,13,9,4,Yes,"['Plastic', 'Metal']",['Oven'],86.3
overweight,male,pescatarian,less frequently,wood,private,electric,often,62,frequently,9123,medium,4,2,44,2,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",253.9
obese,male,pescatarian,less frequently,wood,private,lpg,often,151,very frequently,9070,extra large,7,11,16,19,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",681.6
normal,male,pescatarian,less frequently,natural gas,walk/bicycle,,often,296,very frequently,41,extra large,6,1,5,16,Yes,"['Plastic', 'Metal']",['Microwave'],292.8
overweight,male,vegetarian,more frequently,wood,walk/bicycle,,often,200,rarely,2,medium,6,12,19,19,Yes,"['Paper', 'Plastic', 'Glass']",['Oven'],174.9
normal,female,omnivore,twice a day,natural gas,walk/bicycle,,sometimes,166,never,99,medium,5,12,12,6,Yes,['Glass'],"['Stove', 'Microwave']",114.5
overweight,male,omnivore,daily,natural gas,public,,sometimes,175,very frequently,1323,large,6,14,27,9,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",345.4
obese,male,pescatarian,daily,natural gas,private,diesel,often,189,rarely,274,large,1,8,30,14,Yes,['Plastic'],['Microwave'],206.6
normal,female,omnivore,twice a day,electricity,walk/bicycle,,sometimes,52,frequently,16,medium,3,18,0,21,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",106.2
overweight,female,omnivore,more frequently,coal,private,lpg,never,125,never,8390,extra large,7,7,20,10,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",426
normal,male,omnivore,less frequently,electricity,private,diesel,never,90,rarely,3379,extra large,1,22,50,10,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",212.8
obese,male,vegetarian,twice a day,coal,walk/bicycle,,often,195,rarely,98,extra large,4,21,10,5,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",198.2
overweight,female,omnivore,less frequently,natural gas,walk/bicycle,,often,159,frequently,67,large,6,16,10,18,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",218.6
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,often,255,very frequently,51,large,5,13,8,12,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",301
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,208,never,2215,medium,4,11,32,15,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",156.2
obese,female,omnivore,less frequently,electricity,public,,never,138,frequently,995,medium,4,8,21,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",156.8
overweight,male,vegan,twice a day,electricity,walk/bicycle,,never,105,never,82,medium,4,22,22,14,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",79
overweight,male,pescatarian,daily,coal,public,,often,230,rarely,1405,large,3,17,49,7,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",256.6
overweight,female,vegetarian,less frequently,electricity,private,electric,never,77,never,9206,medium,3,24,18,7,No,"['Plastic', 'Glass', 'Metal']",[],62.6
overweight,male,vegetarian,more frequently,wood,walk/bicycle,,often,262,rarely,31,medium,1,6,12,17,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",150.1
obese,female,vegetarian,more frequently,electricity,private,petrol,never,261,rarely,5475,small,5,18,13,17,No,[],"['Stove', 'Oven']",361.2
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,often,65,very frequently,82,large,7,18,40,18,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],236.1
obese,male,omnivore,daily,electricity,private,diesel,never,246,rarely,9663,medium,3,22,21,8,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",434.7
normal,male,omnivore,daily,coal,public,,often,119,frequently,1436,extra large,1,23,19,24,Sometimes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",224
obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,230,never,76,large,3,5,37,5,Sometimes,[],['Stove'],204.5
normal,male,omnivore,twice a day,coal,public,,never,135,very frequently,1253,large,2,0,12,14,Yes,['Glass'],"['Stove', 'Microwave']",267.7
underweight,female,pescatarian,daily,natural gas,walk/bicycle,,sometimes,141,frequently,65,small,6,5,24,17,Sometimes,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",179.3
obese,male,omnivore,twice a day,wood,public,,sometimes,173,rarely,500,extra large,5,23,11,10,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",231.3
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,often,180,never,43,small,3,11,26,11,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",99.6
normal,female,vegan,twice a day,wood,private,diesel,never,98,very frequently,5774,medium,7,2,8,1,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",322.2
obese,female,pescatarian,less frequently,wood,private,electric,sometimes,115,never,2062,medium,6,22,19,14,No,['Metal'],"['Stove', 'Oven']",152.3
obese,male,omnivore,twice a day,natural gas,public,,never,273,rarely,18,large,5,1,21,17,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",241.2
obese,male,vegetarian,less frequently,natural gas,private,petrol,often,198,never,1741,large,6,6,42,13,Sometimes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",332.5
obese,female,omnivore,daily,natural gas,walk/bicycle,,never,155,frequently,63,medium,7,3,14,9,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave']",191
underweight,male,vegan,less frequently,wood,private,diesel,never,196,frequently,5307,large,4,9,24,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],267.3
normal,male,pescatarian,more frequently,wood,public,,sometimes,135,rarely,1984,extra large,3,10,6,5,No,['Glass'],"['Oven', 'Microwave']",164.4
overweight,male,pescatarian,less frequently,natural gas,private,diesel,never,263,very frequently,7952,medium,3,23,5,17,Yes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",449.6
normal,male,vegetarian,less frequently,wood,walk/bicycle,,never,55,rarely,93,medium,5,19,30,1,Yes,[],"['Oven', 'Microwave']",147.4
